location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
2975,27740,Vartiokylä Huivipolku-2975,2026-01-05T15:00:00+02:00,60.223929999968256,25.102440000281156,pm25,µg/m³,16.08526
2975,27740,Vartiokylä Huivipolku-2975,2026-01-05T16:00:00+02:00,60.223929999968256,25.102440000281156,pm25,µg/m³,12.64273
2975,27740,Vartiokylä Huivipolku-2975,2026-01-05T17:00:00+02:00,60.223929999968256,25.102440000281156,pm25,µg/m³,14.16976
2975,27740,Vartiokylä Huivipolku-2975,2026-01-05T18:00:00+02:00,60.223929999968256,25.102440000281156,pm25,µg/m³,19.85509
2975,27740,Vartiokylä Huivipolku-2975,2026-01-05T19:00:00+02:00,60.223929999968256,25.102440000281156,pm25,µg/m³,33.59226
2975,27740,Vartiokylä Huivipolku-2975,2026-01-05T20:00:00+02:00,60.223929999968256,25.102440000281156,pm25,µg/m³,38.41218
2975,27740,Vartiokylä Huivipolku-2975,2026-01-05T21:00:00+02:00,60.223929999968256,25.102440000281156,pm25,µg/m³,30.72371
2975,27740,Vartiokylä Huivipolku-2975,2026-01-05T22:00:00+02:00,60.223929999968256,25.102440000281156,pm25,µg/m³,23.77108
2975,27740,Vartiokylä Huivipolku-2975,2026-01-05T23:00:00+02:00,60.223929999968256,25.102440000281156,pm25,µg/m³,20.73202
2975,27740,Vartiokylä Huivipolku-2975,2026-01-06T00:00:00+02:00,60.223929999968256,25.102440000281156,pm25,µg/m³,25.96737
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T01:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,39.56903
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T02:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,40.30792
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T03:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,38.42134
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T04:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,36.73667
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T05:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,33.8126
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T06:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,32.79224
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T07:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,29.66846
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T08:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,25.29091
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T09:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,14.11862
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T10:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,8.516589
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T11:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,4.880421
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T12:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,8.015248
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T13:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,10.44295
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T14:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,8.569347
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T15:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,6.630831
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T16:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,3.768633
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T17:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,1.60693
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T18:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,1.164149
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T19:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,2.322894
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T20:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,2.511553
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T21:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,1.927623
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T22:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,1.59892
2975,6403,Vartiokylä Huivipolku-2975,2026-01-05T23:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,1.069958
2975,6403,Vartiokylä Huivipolku-2975,2026-01-06T00:00:00+02:00,60.223929999968256,25.102440000281156,o3,µg/m³,1.361923
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T01:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,5.03503
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T02:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,4.533982
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T03:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,5.751695
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T04:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,7.426516
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T05:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,10.87859
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T06:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,10.68176
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T07:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,13.63666
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T08:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,18.9731
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T09:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,32.37459
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T10:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,37.62628
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T11:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,41.10406
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T12:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,35.32517
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T13:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,42.6792
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T14:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,47.27071
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T15:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,53.49692
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T16:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,48.37047
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T17:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,47.0118
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T18:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,44.81506
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T19:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,46.51029
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T20:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,48.05961
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T21:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,48.30193
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T22:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,43.7138
2975,6306,Vartiokylä Huivipolku-2975,2026-01-05T23:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,42.77803
2975,6306,Vartiokylä Huivipolku-2975,2026-01-06T00:00:00+02:00,60.223929999968256,25.102440000281156,no2,µg/m³,42.52378
